,rmse,time-linalgsolve,rmse_lsa,time-lsa,nn,dataset
207,0.5767474472721743,0.01673998100159224,0.5767474472721662,0.024910918000387028,16,meuse
208,0.575703685327098,0.017759602997102775,0.5757036853270989,0.02667112898780033,32,meuse
209,0.6056028242003678,0.017020115003106184,0.6056028242003689,0.024439853004878387,64,meuse
210,0.6736399332320879,0.016200964004383422,0.6736399332320878,0.021129840999492444,4,meuse
211,0.7167268258160083,0.01724380999803543,0.7167268258160079,0.02506759400421288,8,meuse
212,0.6854276717975379,0.017598594989976846,0.6854276717975377,0.025341981003293768,16,meuse
213,0.7171703315537676,0.01721770499716513,0.7171703315537695,0.024662883006385528,32,meuse
214,0.6434383617948582,0.0179771210096078,0.6434383617948575,0.02625767899735365,64,meuse
215,0.6656351483090475,0.01672758799395524,0.6656351483090468,0.022908525003003888,4,meuse
216,0.6910435285178469,0.016273647008347325,0.6910435285178474,0.022828975997981615,8,meuse
217,0.5553338580510827,0.016933664999669418,0.5553338580510822,0.02674295699398499,16,meuse
218,0.5022755528655871,0.017244301998289302,0.5022755528655868,0.026076765992911533,32,meuse
219,0.5750901858220128,0.017877665988635272,0.5750901858220133,0.02469349800958298,64,meuse
220,0.7509170331769964,0.016313038009684533,0.7509170331769961,0.023366088993498124,4,meuse
221,0.5783960992939148,0.016843379999045283,0.5783960992939144,0.024140416004229337,8,meuse
222,0.6103194482573523,0.018118136998964474,0.6103194482573523,0.025752403002115898,16,meuse
223,0.8857497364739021,0.01811761000135448,0.8857497364738965,0.03503109399753157,32,meuse
224,0.6082361390524477,0.017518971988465637,0.6082361390524472,0.025608046998968348,64,meuse
225,0.6079379961085138,0.016426665999460965,0.6079379961085134,0.022514388998388313,4,meuse
226,0.6450065774478927,0.018022029995336197,0.6450065774478924,0.0228800779877929,8,meuse
227,0.7198148046458075,0.017075841009500436,0.7198148046458057,0.025400731014087796,16,meuse
228,0.6913388499471232,0.01718072900257539,0.691338849947124,0.027535696004633792,32,meuse
229,0.8019000798976801,0.0170397129986668,0.8019000798976822,0.02435861599224154,64,meuse
230,0.5820534478537129,0.01693428700673394,0.5820534478537134,0.021736193011747673,4,meuse
231,0.7441155759245598,0.016880801995284855,0.7441155759245588,0.025521714997012168,8,meuse
232,0.6940183265405548,0.017496539003332146,0.6940183265405706,0.025911689008353278,16,meuse
233,0.6601402713748735,0.016986098999041133,0.6601402713748714,0.026450615012436174,32,meuse
234,0.6242673624807438,0.01693549299670849,0.624267362480743,0.025974243006203324,64,meuse
235,0.6445247646433405,0.01686554700427223,0.6445247646433403,0.022439640000811778,4,meuse
236,0.6147755324827278,0.015953686990542337,0.6147755324827272,0.0222540400136495,8,meuse
237,0.6197827373330339,0.01817288200254552,0.6197827373330351,0.025071732990909368,16,meuse
238,0.6868617143708082,0.018419857995468192,0.6868617143708096,0.02483855199534446,32,meuse
239,0.7168842069838105,0.017574965007952414,0.7168842069838124,0.025543803989421576,64,meuse
240,0.6730752494880878,0.016686995993950404,0.6730752494880877,0.022272476999205537,4,meuse
241,0.7856284082957949,0.01694346401200164,0.7856284082957949,0.02342841398785822,8,meuse
242,0.6685855793351586,0.0169884560018545,0.6685855793351597,0.025248599995393306,16,meuse
243,0.7258283498179187,0.018199351005023345,0.725828349817913,0.02578307800285984,32,meuse
244,0.6324585197502266,0.017075900992495008,0.6324585197502284,0.024745231989072636,64,meuse
245,0.8107129241651279,0.016492040012963116,0.8107129241651283,0.021372717994381674,4,meuse
246,0.6501464246400569,0.017055029995390214,0.6501464246400567,0.023097466997569427,8,meuse
247,0.6193625893224276,0.0174958239949774,0.6193625893224279,0.024042767006903887,16,meuse
248,0.6377959106708488,0.017629523994401097,0.6377959106708495,0.024933289998443797,32,meuse
249,0.586813043005947,0.019503342991811223,0.5868130430059466,0.025229473991203122,64,meuse
250,0.669418352483358,0.016855857989867218,0.6694183524833586,0.021848693999345414,4,meuse
251,0.6488926840431208,0.016574369990848936,0.6488926840431223,0.02401326800463721,8,meuse
252,0.9131827329785078,0.017165482000564225,0.9131827329785167,0.027193778005312197,16,meuse
253,0.8297555567681012,0.017576968006324023,0.8297555567680954,0.026292518989066593,32,meuse
254,0.6919925987843386,0.017456693996791728,0.6919925987843383,0.025759391995961778,64,meuse
255,0.6381660619555864,0.01737241499358788,0.638166061955586,0.0238516129902564,4,meuse
256,0.6491787210737546,0.016570406005484983,0.6491787210737548,0.023409267989336513,8,meuse
257,0.7198769420981393,0.016864050994627178,0.7198769420981385,0.02588352000748273,16,meuse
258,0.6241608108567074,0.017762190007488243,0.6241608108567045,0.026216766011202708,32,meuse
259,0.6185197252150909,0.01869393599918112,0.6185197252150975,0.024889530992368236,64,meuse
260,0.5499404341292425,0.017951975998585112,0.5499404341292422,0.021849108990863897,4,meuse
261,0.5794579255645124,0.016797685995697975,0.5794579255645118,0.023727477004285902,8,meuse
262,0.5848185678454417,0.018953359001898207,0.584818567845442,0.02545213999110274,16,meuse
263,0.6572540500054309,0.017115519003709778,0.657254050005431,0.02421931500430219,32,meuse
264,0.7427875615471,0.017304079010500573,0.7427875615470978,0.025388669993844815,64,meuse
265,0.5738268858617455,0.01637906499672681,0.5738268858617452,0.022687171993311495,4,meuse
266,0.6198681710047962,0.016201531994738616,0.6198681710047956,0.022324976001982577,8,meuse
267,0.6859023388391476,0.016530389999388717,0.6859023388391475,0.025413967014173977,16,meuse
268,0.7007817398963956,0.017735132001689635,0.7007817398963972,0.02602801199827809,32,meuse
269,0.6155201091264624,0.017417118011508137,0.6155201091264553,0.025291630998253822,64,meuse
270,0.7341221257834094,0.016546804996323772,0.7341221257834093,0.021666132990503684,4,meuse
271,0.6520431690523459,0.016932219004957005,0.6520431690523445,0.02353688199946191,8,meuse
272,0.6595746890057432,0.01727239100728184,0.6595746890057447,0.024752807003096677,16,meuse
273,0.6017254849260828,0.017079899000236765,0.6017254849260806,0.02498936800111551,32,meuse
274,0.8491032494381614,0.017073826995329,0.8491032494381621,0.02548361699155066,64,meuse
275,0.7320490883222341,0.01689008201356046,0.7320490883222345,0.021051376999821514,4,meuse
276,0.7152260564376977,0.016255807990091853,0.7152260564376993,0.022167235001688823,8,meuse
277,0.6371641582668329,0.01721296799951233,0.6371641582668301,0.02535156099474989,16,meuse
278,0.7207910428793954,0.018593870001495816,0.7207910428793942,0.024407777993474156,32,meuse
279,0.6123128058797864,0.01766229599888902,0.6123128058797875,0.029066044997307472,64,meuse
280,0.6685667329881942,0.01728119900508318,0.6685667329881942,0.022566608007764444,4,meuse
281,0.6144903959019974,0.016430221003247425,0.6144903959019969,0.022363950003637,8,meuse
282,0.7483002585666702,0.01760552499035839,0.7483002585666697,0.023624409004696645,16,meuse
283,0.7066604486862329,0.01703177799936384,0.7066604486862317,0.025312872996437363,32,meuse
284,0.6664626850815475,0.017088382999645546,0.6664626850815477,0.025469939995673485,64,meuse
285,0.5444227987027463,0.016548803992918693,0.544422798702747,0.021399453005869873,4,meuse
286,0.6075594365664858,0.016200422003748827,0.6075594365664866,0.022537140001077205,8,meuse
287,0.6463474114509907,0.01683578400115948,0.6463474114509882,0.02492285800690297,16,meuse
288,0.6831070472302847,0.01763061000383459,0.683107047230285,0.02464490399870556,32,meuse
289,0.6507143995843041,0.017592510994290933,0.6507143995842999,0.025516116002108902,64,meuse
290,0.7354508650327993,0.016237095012911595,0.7354508650327986,0.021707125997636467,4,meuse
291,0.6582874792619617,0.017369249995681457,0.6582874792619614,0.02378090399724897,8,meuse
292,0.620354281194937,0.01807427300082054,0.6203542811949363,0.02527966198977083,16,meuse
293,0.6143316488150415,0.017547427996760234,0.6143316488150432,0.02466878600534983,32,meuse
294,0.6114004256965201,0.016656869993312284,0.6114004256965195,0.024455012011458166,64,meuse
295,0.7046146364471635,0.01691794399812352,0.704614636447164,0.022477446007542312,4,meuse
296,0.6779967190854332,0.01702403899980709,0.6779967190854331,0.024392024002736434,8,meuse
297,0.6301877236753962,0.017660868004895747,0.6301877236753941,0.02579373901244253,16,meuse
298,0.8408706698523434,0.017456134999520145,0.8408706698523427,0.026018132994067855,32,meuse
299,0.6802530786316136,0.021081485989270732,0.6802530786316124,0.024813708005240187,64,meuse
300,0.9159605240563012,0.01720339199528098,0.9159605240563019,0.021516592998523265,4,meuse
301,0.7248224984562215,0.024855634997948073,0.7248224984562212,0.03338576700480189,8,meuse
302,0.5915383558773532,0.016723633001674898,0.5915383558773556,0.02567840499978047,16,meuse
303,0.7505837737603456,0.01794195499678608,0.7505837737603449,0.02576533799583558,32,meuse
304,0.5953845353913264,0.01850800300599076,0.5953845353913266,0.02595202399243135,64,meuse
305,0.6348446243696528,0.020922230003634468,0.6348446243696519,0.02645151699834969,4,meuse
306,0.955714901703658,0.01670276199001819,0.9557149017036588,0.024514712000382133,8,meuse
307,0.6377734891258189,0.017216460997588,0.6377734891258195,0.024405642005149275,16,meuse
308,0.671873044931297,0.01760565499716904,0.6718730449312973,0.025057613995159045,32,meuse
309,0.5306983817284049,0.017539382999530062,0.530698381728405,0.027167391002876684,64,meuse
310,0.6218221396668084,0.016666826995788142,0.6218221396668084,0.021260913999867626,4,meuse
311,0.6609107245737659,0.017087204003473744,0.6609107245737655,0.022057245994801633,8,meuse
312,0.6061208407163595,0.016938729997491464,0.6061208407163604,0.026040078009827994,16,meuse
313,0.5872761554585753,0.017267540999455377,0.5872761554585729,0.024373575011850335,32,meuse
314,0.6013313949677858,0.023234312000568025,0.6013313949677859,0.032277644000714645,64,meuse
